Date,Open,High,Low,Close,Adj Close,Volume,GDP,Inflation,Unemployment,Interest Rate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,grossProfit,totalRevenue,operatingIncome,investmentIncomeNet,interestExpense,netIncome_x,capitalExpenditures,cashflowFromInvestment,cashflowFromFinancing,Sentiment
19-01-2010,7.440357208,7.685357094,7.401429176,7.679999828,6.493078232,730007600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
20-01-2010,7.675356865,7.698214054,7.482142925,7.561786175,6.39313221,612152800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
21-01-2010,7.574285984,7.61821413,7.40035677,7.431070805,6.282618999,608154400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
22-01-2010,7.385000229,7.410714149,7.041429043,7.0625,5.971009731,881767600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
25-01-2010,7.232500076,7.310713768,7.149642944,7.252500057,6.131645679,1065699600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
26-01-2010,7.35535717,7.632500172,7.235000134,7.355000019,6.218305111,1867110000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
27-01-2010,7.387499809,7.520713806,7.126070976,7.424285889,6.276882172,1722568400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
28-01-2010,7.318929195,7.339285851,7.096428871,7.117499828,6.01750946,1173502400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
29-01-2010,7.181428909,7.221428871,6.794642925,6.859285831,5.799201965,1245952400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
01-02-2010,6.870357037,7.0,6.83214283,6.954642773,5.879821301,749876400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
02-02-2010,6.996786118,7.011428833,6.906428814,6.994999886,5.91394186,698342400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
03-02-2010,6.970356941,7.150000095,6.943571091,7.115356922,6.015699387,615328000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
04-02-2010,7.026071072,7.084642887,6.841785908,6.858929157,5.798900127,757652000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
05-02-2010,6.879642963,7.0,6.816071033,6.980713844,5.901864052,850306800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
08-02-2010,6.988928795,7.067142963,6.928571224,6.932857037,5.861403942,478270800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
09-02-2010,7.014999866,7.053571224,6.955357075,7.00678587,5.923905373,632886800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
10-02-2010,6.996070862,7.021429062,6.937857151,6.968571186,5.891597748,370361600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
11-02-2010,6.960000038,7.133928776,6.93071413,7.095356941,5.998788357,550345600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
12-02-2010,7.07535696,7.20142889,6.982142925,7.156428814,6.050422668,655468800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
16-02-2010,7.212142944,7.274642944,7.197143078,7.264286041,6.141612053,543737600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
17-02-2010,7.292500019,7.296785831,7.17357111,7.233929157,6.115944386,436396800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
18-02-2010,7.201070786,7.281785965,7.175714016,7.247499943,6.127420425,422825200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
19-02-2010,7.209286213,7.257143021,7.182499886,7.202499866,6.089373589,415469600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
22-02-2010,7.226428986,7.232142925,7.113928795,7.157856941,6.051629066,390563600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
23-02-2010,7.142857075,7.190357208,6.989643097,7.037857056,5.950176239,575094800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
24-02-2010,7.079642773,7.19428587,7.065713882,7.166429043,6.058876038,460566400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
25-02-2010,7.049285889,7.244999886,7.031785965,7.214285851,6.099338531,665126000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
26-02-2010,7.227857113,7.327499866,7.214285851,7.307857037,6.178447723,507460800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
01-03-2010,7.348214149,7.482142925,7.337500095,7.463929176,6.310398102,550093600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
02-03-2010,7.497499943,7.529643059,7.419285774,7.458929062,6.30617094,566546400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
03-03-2010,7.462142944,7.495357037,7.426428795,7.476070881,6.320664883,372052800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
04-03-2010,7.474286079,7.532856941,7.451070786,7.52535677,6.362334728,366041200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
05-03-2010,7.676428795,7.846428871,7.665357113,7.819643021,6.61113739,899620400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
08-03-2010,7.857500076,7.860356808,7.794642925,7.824285984,6.615064144,429889600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
09-03-2010,7.796785831,8.035714149,7.781785965,7.965000153,6.7340312,920259200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
10-03-2010,7.993928909,8.052857399,7.971428871,8.029999733,6.788985729,596218000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
11-03-2010,7.996786118,8.053570747,7.975714207,8.053570747,6.808913708,405700400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
12-03-2010,8.12035656,8.133213997,8.0625,8.092857361,6.8421278,416323600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
15-03-2010,8.049285889,8.053570747,7.866071224,7.99428606,6.758790493,493502800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
16-03-2010,8.006428719,8.034999847,7.946785927,8.01607132,6.777209282,446908000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
17-03-2010,8.032142639,8.087499619,7.973928928,8.004285812,6.767246246,450956800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
18-03-2010,8.003570557,8.035714149,7.95035696,8.02321434,6.783248901,342109600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
19-03-2010,8.028214455,8.044285774,7.901071072,7.9375,6.710778713,559445600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
22-03-2010,7.873929024,8.071429253,7.862500191,8.026785851,6.786269188,456419600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
23-03-2010,8.058570862,8.170714378,8.003570557,8.155714035,6.895270348,602431200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
24-03-2010,8.130000114,8.221428871,8.125356674,8.191785812,6.925765038,597780400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
25-03-2010,8.247142792,8.248929024,8.080356598,8.094642639,6.84363699,542284400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
26-03-2010,8.176786423,8.283928871,8.162500381,8.246429443,6.971966267,640875200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
29-03-2010,8.321429253,8.352499962,8.272143364,8.299642563,7.016954899,540744400,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
30-03-2010,8.449999809,8.4814291,8.366070747,8.423213959,7.121427536,527310000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
31-03-2010,8.410357475,8.450357437,8.373571396,8.392856598,7.095761776,430659600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
01-04-2010,8.478928566,8.526070595,8.3125,8.427499771,7.125051022,603145200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
05-04-2010,8.39214325,8.518214226,8.384642601,8.517499924,7.201144218,684507600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
06-04-2010,8.507143021,8.579999924,8.464285851,8.555000305,7.232847214,447017200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
07-04-2010,8.555356979,8.640000343,8.523571014,8.592857361,7.264853477,628502000,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
08-04-2010,8.587142944,8.626428604,8.501428604,8.569643021,7.24522686,572989200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
09-04-2010,8.62250042,8.638929367,8.587857246,8.635356903,7.300786972,334182800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
12-04-2010,8.649999619,8.681071281,8.636071205,8.653214455,7.315884113,333026400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
13-04-2010,8.637857437,8.67142868,8.611070633,8.658213615,7.320112228,306210800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
14-04-2010,8.760000229,8.778928757,8.716786385,8.774642944,7.4185462,404076400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
15-04-2010,8.777856827,8.893928528,8.768214226,8.890000343,7.516077518,376784800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
16-04-2010,8.87749958,8.969285965,8.73392868,8.83571434,7.470179081,750545600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
19-04-2010,8.822500229,8.853214264,8.634642601,8.823928833,7.460215092,566924400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
20-04-2010,8.876428604,8.901785851,8.677143097,8.735357285,7.385330677,738326400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
21-04-2010,9.242856979,9.294643402,9.133213997,9.257857323,7.827079296,982391200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
22-04-2010,9.222857475,9.526785851,9.149999619,9.516785622,8.045992851,793424800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
23-04-2010,9.571070671,9.720713615,9.535714149,9.672499657,8.177642822,796955600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
26-04-2010,9.710000038,9.730713844,9.578213692,9.625,8.13748455,479068800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
27-04-2010,9.54535675,9.565713882,9.304286003,9.358571053,7.912227631,709343600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
28-04-2010,9.401785851,9.428570747,9.157500267,9.342857361,7.898945332,758402400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
29-04-2010,9.3935709,9.642856598,9.357500076,9.594285965,8.111514091,558840800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
30-04-2010,9.618213654,9.66321373,9.321429253,9.324643135,7.883543968,542463600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
03-05-2010,9.422857285,9.56714344,9.388570786,9.512499809,8.042367935,454342000,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
04-05-2010,9.388929367,9.403214455,9.169643402,9.238571167,7.810774803,723819600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
05-05-2010,9.036786079,9.219285965,8.883213997,9.142499924,7.729552746,883103200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
06-05-2010,9.065357208,9.223214149,7.116071224,8.794643402,7.435455799,1285860800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
07-05-2010,8.703928947,8.806071281,8.043213844,8.423570633,7.121731281,1676018400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
10-05-2010,8.9375,9.094642639,8.876070976,9.071070671,7.669161797,984306400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
11-05-2010,8.994285583,9.281785965,8.946429253,9.161429405,7.745555878,848906800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
12-05-2010,9.258570671,9.397500038,9.239286423,9.360357285,7.913739204,654379600,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
13-05-2010,9.400713921,9.464285851,9.157142639,9.227143288,7.801114559,599712400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
14-05-2010,9.112856865,9.159999847,8.910714149,9.06499958,7.664028168,759362800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
17-05-2010,9.096428871,9.14928627,8.846785545,9.079285622,7.676103592,762834800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
18-05-2010,9.177857399,9.23392868,8.937856674,9.012857437,7.619945049,782678400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
19-05-2010,8.910714149,9.032856941,8.744643211,8.869285583,7.498560905,1025726800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
20-05-2010,8.638570786,8.708929062,8.436071396,8.491429329,7.179101944,1282915200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
21-05-2010,8.31499958,8.732143402,8.262499809,8.654286385,7.316791058,1223891200,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
24-05-2010,8.831428528,8.96071434,8.795000076,8.812856674,7.45085001,754238800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
25-05-2010,8.548213959,8.812856674,8.470000267,8.757857323,7.404354095,1048006400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
26-05-2010,8.931428909,9.00464344,8.705356598,8.718214035,7.370837688,850654000,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
27-05-2010,8.949999809,9.067500114,8.896785736,9.048213959,7.64983654,666282400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
28-05-2010,9.263929367,9.264286041,9.048213959,9.174285889,7.756420135,815614800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
01-06-2010,9.274642944,9.497857094,9.248571396,9.315357208,7.875692844,876472800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
02-06-2010,9.447856903,9.45714283,9.297499657,9.426786423,7.969901562,688548000,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
03-06-2010,9.470713615,9.48392868,9.300356865,9.397143364,7.944840431,650106800,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
04-06-2010,9.221785545,9.353570938,9.093929291,9.141428947,7.728646278,758304400,14980.193,217.403,9.9,0.2,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
